,Product Name,BigBasket Price,JioMart Price,DMart Price,MRP,Category,Sub Category,Big Basket Savings,JioMart Savings,DMart Savings,Big Basket Discount Percentage,JioMart Discount Percentage,DMart Discount Percentage
98,Haldiram's Nagpur Gulab Jamun 1 kg,179,164,159,225,Snacks,Indian sweets,46,61,66,20,27,29
99,Amul Avsar Kaju Katri 500 g,350,399,349,435,Snacks,Indian sweets,85,36,86,19,8,19
100,Amul Rasmalai 500 g (Tub),179,189,222,230,Snacks,Indian sweets,51,41,8,22,17,3
101,Haldiram's Nagpur Badam Halwa 200 g,189,169,259,225,Snacks,Indian sweets,36,56,-34,16,24,-15
102,Haldiram's Nagpur Rasgulla 1 kg,199,209,188,225,Snacks,Indian sweets,26,16,37,11,7,16
103,Charlie's Til Laddu 150 g,179,149,155,299,Snacks,Indian sweets,120,150,144,40,50,48
104,Crave Eatables Bachubhai's Kala Jamun 1 kg,119,92,89,149,Snacks,Indian sweets,30,57,60,20,38,40
105,Charlie's Peanut Laddu 150 g,39,40,39,46,Snacks,Indian sweets,7,6,7,15,13,15
106,Haldiram's Nagpur My Treat Rasgulla 120 g,79,69,55,100,Snacks,Indian sweets,21,31,45,21,31,45
107,Maganlal Crushed Peanut Chikki 250 g,79,69,55,93,Snacks,Indian sweets,14,24,38,15,25,40
108,Haldiram's Nagpur Taste of Tradition My Treat Gulab Jamun 120 g,99,89,79,125,Snacks,Indian sweets,26,36,46,20,28,36
109,Haldiram's Nagpur Rassagulla 500 g,99,92,89,116,Snacks,Indian sweets,17,24,27,14,20,23
110,Charlie's Crushed Peanut Chikki 150 g,59,46,39,92,Snacks,Indian sweets,33,46,53,35,50,57
